tx_hash,tx_from,tx_to,protocol,protocol_version,src_token_symbol,dst_token_symbol,src_token_amount,dst_token_amount,src_token_decimals,dst_token_decimals,amount_usd,tokens,transfers
0x30bbaed0778b9e8b9f69525d1d4659de598037341e828c797ffc54d821b7e071,0x1eec1f675519bbaba3896ebd64aa6159d929a62f,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,USDT,60245000000000,60200522227447,6,6,6.028644856E7,2,16
0x4f3cc6e1aa3a782db032caf2160a38ffb2b19ccf4e02eca996f5f962ea7a8a9b,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,39600000000000,39600000000000000000000000,6,18,3.96147708E7,2,5
0xc87e76fd131bef8edc48c89d19a5ba34b4070db5c63be4d64a8006a707eab6f1,0x2bcf7f760ce67da97238f63d4834ad194ec458db,0x453afe7c8149b1b1e6582094ca54c7588282f1c8,AR,5,WETH,wstETH,10000000000000000000000,8598742260015615899145,18,18,3.17023E7,4,18
0x3fefe9a6f583007e6863dfb78b7671f3c78ec0c20f835d5a45046f103e54f32e,0xcaf8b913ee43924ffb485f9366f988d04a0e129a,0xbba4c8eb57df16c4cfabe4e9a3ab697a3e0c65d8,AR,4,WETH,wstETH,11368164125736147905949,9820766960722034525693,18,18,3.13224752523583E7,3,8
0xce1a84702146c68c50ccb3816a7183800efdcfbf177c40013ff1dad635732d03,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,30176361806985070868891241,30176361806985,18,6,3.020195136179732E7,2,6
0x3d8acb3eadee038b21ed56fdf07dd121b521f09eb944d2cf7512df7c38d8a2b8,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,30000000000000000000000000,30000000000000,18,6,3.0015089999999996E7,2,6
0xac9dabaeaca8f16529cf3b0f0b578eddbc4014bddacc7b39f569139fa2d6ce78,0x2bcf7f760ce67da97238f63d4834ad194ec458db,0x453afe7c8149b1b1e6582094ca54c7588282f1c8,AR,5,ETH,wstETH,8000000000000000000000,6906214854924311165172,18,18,2.542856E7,3,9
0x641dbc694bf3c0d56c648450959531ba3e1e4ea55a12e6c22007e423d2be5b8f,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,25000000000000000000000000,25000000000000,18,6,2.5014275000000004E7,2,6
0x084315d3fded30291377a4bab9966d637f0698514508ce6e35503cd601fe8c33,0x2bcf7f760ce67da97238f63d4834ad194ec458db,0x453afe7c8149b1b1e6582094ca54c7588282f1c8,AR,5,ETH,wstETH,9999983316161928328000,8647454749183135538051,18,18,2.453066725974526E7,2,6
0xac657ac098416fd50febc1224cd0a8dc2ffe659ad9cbabe630a81755b36aaf36,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,24000000000000000000000000,24000000000000,18,6,2.4003624E7,2,6
0x7c93ca0032fb3444ca2e8152cfe3675b4b0291afde562f998bf9cd9fcd22e886,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,23886272380000,23886272380000000000000000,6,18,2.390791334277628E7,2,5
0xbd7ef6eb36b5b30903698b95b2e44c10401d455468a425433762119542654aca,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,21983451520000,21983451520000000000000000,6,18,2.2007215631093126E7,2,5
0x3db442d1806e99db0e1e6a4bf74f5ae07a2eefae7ac4300a22b0bae0a278b3c0,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,8270000000000000000000,8270148555496465346314,18,18,2.167614206544179E7,4,14
0x1b1cf21049830c0df427511460940b8f0af1624806c1c71d4baa4075387bdfa4,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,20353286215756226688006360,20353286215756,18,6,2.0379765841122698E7,2,6
0x3ee847231b66345caeb5ccfd10c39563a09b7e9b3ea270b4e3dd6955415f44c2,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,20000000000000,20000000000000000000000000,6,18,2.001954E7,2,5
0x76291bfce5e261eefc275c3cc84434f0aab9ecf9902aab7967699d521af81bc6,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,19745669549516477616065788,19745669549516,18,6,1.9758918893784203E7,2,6
0x40c5bf24604996919252f32f698367aa613f1308b617ac59fad759aa6f11f8fa,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,19683586130000,19683586130000000000000000,6,18,1.968980614321708E7,2,5
0x8050a2ec96d72db6b410ce8641b03ca3e3dcdb169bc6423a2ce454056857b224,0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,sDAI,18499850723152,17491485656228687931073030,6,18,1.8503291695386507E7,3,7
0xd4a709d715fdc155a35d1760d3622be8acff78cdf4b1a880dfbdb3fc95f764d2,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,17749999000000000000000000,17749999000000,18,6,1.7763098499262E7,2,6
0x69100ba900c31a0c6b3455f258c7685b24027579c571f4a81fb5be8d608268cf,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,17441738955272,17441738955272000000000000,6,18,1.7458500466408014E7,2,5
0xd3201c0558fe35412d12ba25888a725e5e6f8321c5fb25c72b6e7606ddd523e9,0x6da6b8f5c219beebf77a2b38ddb18b271f0d7a83,0x46978cd477a496028a18c02f07ab7f35edba5a54,AR,5,wstETH,WETH,5000000000000000000000,5784432289380952033234,18,18,1.726395E7,4,19
0x924b8c27d712ab6b846b805d39ac32f397e9c916708579a2679dc20560e86840,0xac5406aebe35a27691d62bfb80eefcd7c0093164,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,WETH,ETH,5267313973174046248765,5267313973174046248765,18,18,1.7124143073068287E7,2,4
0x57d3ac393e70ce023e6c13670df3903a4b1c20c3b239fdda82240b1c3c9b7991,0xcfcce06af0ee209dfa340247199057fe619c98c9,0x2ba98dd3d12e9aa8f480676a8ea297df34fb47fb,AR,5,wstETH,WETH,4995000000000000000000,5780185934373533625980,18,18,1.7023009950000003E7,4,17
0xf609d9ab48f4fd1cd951d28e39b948cd7b517134340cfbfa67fd1e3945b80b6a,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,17002257506985,17002257506985000000000000,6,18,1.70158933175056E7,2,5
0xa6e475c26b4db47ed9449cb88dfe0c584319a4416dfa6d1aad16f8c780dee3b8,0x66e2a637cc99dd0bfe1922a77cf747de727836b0,0x4353e2df4e3444e97e20b2bda165bdd9a23913ab,AR,5,USDC,DAI,15999001860000,15999001860000000000000000,6,18,1.601560882393068E7,2,4
0xd207446b1cda117c76053cdb79754d7f9f751bc43bec9e0fd4598a404418d608,0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,15274117734438,15274117734438000000000000,6,18,1.528537475920828E7,2,5
0x9de0b6097fbffe84934611addf7bc4e48720b3ce996bc71168a489dcab0ec5ed,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,14000000000000000000000000,14000000000000,18,6,1.4006188E7,2,6
0xf090651020fb9e8bd3d0d231f58765fbb6ab4749923b1fc2d53a64dd1767a8f6,0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,sDAI,14000000000000,13234231801338504829247125,6,18,1.4004116E7,3,7
0xc5d5f56cc08fc9ab184258ce500fbf67dddb72816e34edb11d87d089397f269d,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,13897022390000,13897022390000000000000000,6,18,1.3898676135664409E7,2,5
0x04e8aa8508a765485f56ad516263c3f9b6db0e615d3b98f5acc09caf8a304629,0x995a09ed0b24ee13fbfcfbe60cad2fb6281b479f,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,5000000000000000000000,4999085655085656215815,18,18,1.376155E7,4,17
0xbbdbac1e644e1531d40f24132be2f95308f2b83ba2a98ec3b7f21f55625330c5,0xb369b35bcf48257f5cc0ad688350dae80bbc994a,0x69592e6f9d21989a043646fe8225da2600e5a0f7,AR,5,WETH,wstETH,4600000000000000000000,3974416668397150464033,18,18,1.3748802E7,4,16
0x1cd0fcb068cb61334a8acbf094c44589a79e6f09d28300640e163ae362e4ea7f,0xad954d59c1244e2a4dc602fa5f24ab5ee381db60,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,WETH,4499969293103207559308,4499969293103207559308,18,18,1.3331744026826357E7,2,5
0xc5923811d389b513b152f5a46d393fbd41bf12eecbff10f8d25881b2d0bd3f06,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,12900000000000000000000000,12900000000000,18,6,1.29081399E7,2,6
0xc0c57f0e3ee2dc89016813a6519f6da2b5605755aea75f324040e6316de6768b,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,12685928405108082979851337,12685928405108,18,6,1.2686067950320538E7,2,6
0xfe00721a40739869a6e947811d7e368f0f18ce48671717213a34e423ef878915,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,12500000000000000000000000,12500000000000,18,6,1.25206875E7,2,6
0x0ab0a466536f4503793265f38915daa61b775528b0253c211c4de9926a00793a,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,11900000000000000000000000,11900000000000,18,6,1.19220864E7,2,6
0xf76e622794ea2f8e4c948bfa4f7a522be0766be680cc9fe816146f9612dbc8cd,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,4328210631000000000000,4328218803554704415911,18,18,1.189855399936317E7,4,9
0x47d1a4a9224b0630993e7d19525ed05ec2c9fda5b51cbcc2577ce4b14e7a904c,0x741aa7cfb2c7bf2a1e7d4da2e3df6a56ca4131f3,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,DAI,11615373126809,11615373126809000000000000,6,18,1.1628301037099136E7,2,5
0x3fd78d056a18b97959e7956c2a4da00eec35aeece7c39c45b1f7113e3e5c6fef,0x0f1dfef1a40557d279d0de6e49ab306891a638b8,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,11000000000000000000000000,11000000000000,18,6,1.1011517E7,2,6
0x8d0434381416877438806e9ae372d126fab51625b4af30991e72b75d2f87e93b,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,DAI,USDC,10951810238157731117164692,10951810238157,18,6,1.0972837713814994E7,2,6
0x4552ee59684922be9b68d409216eb77f0ad8a6ea876fff47d75724debc7558a1,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,4380290865000000000000,4380300980458655151475,18,18,1.083874815507631E7,4,10
0x86b40e420bb3a1e42ccea8be9cdd93c855c1f1f3a8e3e26d73c66c851ec5ebbb,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,3880000000000000000000,3880037236855193697941,18,18,1.0720077280962478E7,4,10
0x16a38badd44d919fcb98abea1f3f27bffb3da6f2810be4adafa05433e83c4dd3,0xdde0d6e90bfb74f1dc8ea070cfd0c0180c03ad16,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,3850514212000000000000,3850695736787700682652,18,18,1.057054713020876E7,4,17
